file,class,method,variable,usage
/home/luisb/projetos/puc-experimentacao2/./project/src/main/java/com/thealgorithms/scheduling/FCFSScheduling.java,com.thealgorithms.scheduling.FCFSScheduling,FCFSScheduling/1[java.util.List<com.thealgorithms.devutils.entities.ProcessDetails>],processes,3
/home/luisb/projetos/puc-experimentacao2/./project/src/main/java/com/thealgorithms/scheduling/FCFSScheduling.java,com.thealgorithms.scheduling.FCFSScheduling,evaluateWaitingTime/0,processes,6
/home/luisb/projetos/puc-experimentacao2/./project/src/main/java/com/thealgorithms/scheduling/FCFSScheduling.java,com.thealgorithms.scheduling.FCFSScheduling,evaluateTurnAroundTime/0,processes,1
/home/luisb/projetos/puc-experimentacao2/./project/src/main/java/com/thealgorithms/sorts/IntrospectiveSort.java,com.thealgorithms.sorts.IntrospectiveSort,"introspectiveSort/4[T[],int,int,int]",INSERTION_SORT_THRESHOLD,1
/home/luisb/projetos/puc-experimentacao2/./project/src/test/java/com/thealgorithms/datastructures/caches/LRUCacheTest.java,com.thealgorithms.datastructures.caches.LRUCacheTest$1TestObject,hashCode/0,value,2
/home/luisb/projetos/puc-experimentacao2/./project/src/test/java/com/thealgorithms/datastructures/caches/LRUCacheTest.java,com.thealgorithms.datastructures.caches.LRUCacheTest$1TestObject,TestObject/1[java.lang.String],value,3
/home/luisb/projetos/puc-experimentacao2/./project/src/test/java/com/thealgorithms/datastructures/caches/LRUCacheTest.java,com.thealgorithms.datastructures.caches.LRUCacheTest$1TestObject,equals/1[java.lang.Object],value,2
/home/luisb/projetos/puc-experimentacao2/./project/src/main/java/com/thealgorithms/ciphers/AESEncryption.java,com.thealgorithms.ciphers.AESEncryption,"encryptText/2[java.lang.String,javax.crypto.SecretKey]",aesCipher,3
/home/luisb/projetos/puc-experimentacao2/./project/src/main/java/com/thealgorithms/ciphers/AESEncryption.java,com.thealgorithms.ciphers.AESEncryption,"decryptText/2[byte[],javax.crypto.SecretKey]",aesCipher,1
/home/luisb/projetos/puc-experimentacao2/./project/src/main/java/com/thealgorithms/ciphers/AESEncryption.java,com.thealgorithms.ciphers.AESEncryption,bytesToHex/1[byte[]],HEX_ARRAY,2
/home/luisb/projetos/puc-experimentacao2/./project/src/main/java/com/thealgorithms/scheduling/SJFScheduling.java,com.thealgorithms.scheduling.SJFScheduling,sortProcessesByArrivalTime/1[java.util.List<com.thealgorithms.devutils.entities.ProcessDetails>],processes,2
/home/luisb/projetos/puc-experimentacao2/./project/src/main/java/com/thealgorithms/scheduling/SJFScheduling.java,com.thealgorithms.scheduling.SJFScheduling,getSchedule/0,schedule,1
/home/luisb/projetos/puc-experimentacao2/./project/src/main/java/com/thealgorithms/scheduling/SJFScheduling.java,com.thealgorithms.scheduling.SJFScheduling,getProcesses/0,processes,1
/home/luisb/projetos/puc-experimentacao2/./project/src/main/java/com/thealgorithms/scheduling/SJFScheduling.java,com.thealgorithms.scheduling.SJFScheduling,scheduleProcesses/0,schedule,1
/home/luisb/projetos/puc-experimentacao2/./project/src/main/java/com/thealgorithms/scheduling/SJFScheduling.java,com.thealgorithms.scheduling.SJFScheduling,scheduleProcesses/0,processes,2
/home/luisb/projetos/puc-experimentacao2/./project/src/main/java/com/thealgorithms/scheduling/SJFScheduling.java,com.thealgorithms.scheduling.SJFScheduling,SJFScheduling/1[java.util.List<com.thealgorithms.devutils.entities.ProcessDetails>],schedule,1
/home/luisb/projetos/puc-experimentacao2/./project/src/main/java/com/thealgorithms/scheduling/SJFScheduling.java,com.thealgorithms.scheduling.SJFScheduling,SJFScheduling/1[java.util.List<com.thealgorithms.devutils.entities.ProcessDetails>],processes,4
/home/luisb/projetos/puc-experimentacao2/./project/src/main/java/com/thealgorithms/ciphers/ADFGVXCipher.java,com.thealgorithms.ciphers.ADFGVXCipher,"decrypt/2[java.lang.String,java.lang.String]",POLYBIUS_MAP,1
/home/luisb/projetos/puc-experimentacao2/./project/src/main/java/com/thealgorithms/ciphers/ADFGVXCipher.java,com.thealgorithms.ciphers.ADFGVXCipher,"encrypt/2[java.lang.String,java.lang.String]",REVERSE_POLYBIUS_MAP,1
/home/luisb/projetos/puc-experimentacao2/./project/src/main/java/com/thealgorithms/datastructures/stacks/StackArray.java,com.thealgorithms.datastructures.stacks.StackArray,resize/1[int],top,1
/home/luisb/projetos/puc-experimentacao2/./project/src/main/java/com/thealgorithms/datastructures/stacks/StackArray.java,com.thealgorithms.datastructures.stacks.StackArray,resize/1[int],stackArray,2
/home/luisb/projetos/puc-experimentacao2/./project/src/main/java/com/thealgorithms/datastructures/stacks/StackArray.java,com.thealgorithms.datastructures.stacks.StackArray,resize/1[int],maxSize,1
/home/luisb/projetos/puc-experimentacao2/./project/src/main/java/com/thealgorithms/datastructures/stacks/StackArray.java,com.thealgorithms.datastructures.stacks.StackArray,isFull/0,top,1
/home/luisb/projetos/puc-experimentacao2/./project/src/main/java/com/thealgorithms/datastructures/stacks/StackArray.java,com.thealgorithms.datastructures.stacks.StackArray,isFull/0,maxSize,1
/home/luisb/projetos/puc-experimentacao2/./project/src/main/java/com/thealgorithms/datastructures/stacks/StackArray.java,com.thealgorithms.datastructures.stacks.StackArray,StackArray/0,DEFAULT_CAPACITY,1
/home/luisb/projetos/puc-experimentacao2/./project/src/main/java/com/thealgorithms/datastructures/stacks/StackArray.java,com.thealgorithms.datastructures.stacks.StackArray,push/1[T],top,1
/home/luisb/projetos/puc-experimentacao2/./project/src/main/java/com/thealgorithms/datastructures/stacks/StackArray.java,com.thealgorithms.datastructures.stacks.StackArray,push/1[T],maxSize,1
/home/luisb/projetos/puc-experimentacao2/./project/src/main/java/com/thealgorithms/datastructures/stacks/StackArray.java,com.thealgorithms.datastructures.stacks.StackArray,push/1[T],stackArray,1
/home/luisb/projetos/puc-experimentacao2/./project/src/main/java/com/thealgorithms/datastructures/stacks/StackArray.java,com.thealgorithms.datastructures.stacks.StackArray,size/0,top,1
/home/luisb/projetos/puc-experimentacao2/./project/src/main/java/com/thealgorithms/datastructures/stacks/StackArray.java,com.thealgorithms.datastructures.stacks.StackArray,StackArray/1[int],top,1
/home/luisb/projetos/puc-experimentacao2/./project/src/main/java/com/thealgorithms/datastructures/stacks/StackArray.java,com.thealgorithms.datastructures.stacks.StackArray,StackArray/1[int],maxSize,1
