file,class,method,variable,usage
/home/luisb/projetos/puc-experimentacao2/./project/src/main/java/com/thealgorithms/maths/FibonacciNumberCheck.java,com.thealgorithms.maths.FibonacciNumberCheck,isFibonacciNumber/1[long],number,4
/home/luisb/projetos/puc-experimentacao2/./project/src/main/java/com/thealgorithms/maths/FibonacciNumberCheck.java,com.thealgorithms.maths.FibonacciNumberCheck,isFibonacciNumber/1[long],value2,1
/home/luisb/projetos/puc-experimentacao2/./project/src/main/java/com/thealgorithms/maths/FibonacciNumberCheck.java,com.thealgorithms.maths.FibonacciNumberCheck,isFibonacciNumber/1[long],value1,1
/home/luisb/projetos/puc-experimentacao2/./project/src/main/java/com/thealgorithms/maths/FibonacciNumberCheck.java,com.thealgorithms.maths.FibonacciNumberCheck,isPerfectSquare/1[long],number,2
/home/luisb/projetos/puc-experimentacao2/./project/src/main/java/com/thealgorithms/maths/FibonacciNumberCheck.java,com.thealgorithms.maths.FibonacciNumberCheck,isPerfectSquare/1[long],sqrt,3
/home/luisb/projetos/puc-experimentacao2/./project/src/test/java/com/thealgorithms/scheduling/JobSchedulingWithDeadlineTest.java,com.thealgorithms.scheduling.JobSchedulingWithDeadlineTest,testJobSequencingWithDeadlines2/0,result,1
/home/luisb/projetos/puc-experimentacao2/./project/src/test/java/com/thealgorithms/scheduling/JobSchedulingWithDeadlineTest.java,com.thealgorithms.scheduling.JobSchedulingWithDeadlineTest,testJobSequencingWithDeadlines2/0,jobs,1
/home/luisb/projetos/puc-experimentacao2/./project/src/test/java/com/thealgorithms/scheduling/JobSchedulingWithDeadlineTest.java,com.thealgorithms.scheduling.JobSchedulingWithDeadlineTest,testJobSequencingWithDeadlinesNoJobs/0,result,1
/home/luisb/projetos/puc-experimentacao2/./project/src/test/java/com/thealgorithms/scheduling/JobSchedulingWithDeadlineTest.java,com.thealgorithms.scheduling.JobSchedulingWithDeadlineTest,testJobSequencingWithDeadlinesNoJobs/0,jobs,1
/home/luisb/projetos/puc-experimentacao2/./project/src/test/java/com/thealgorithms/scheduling/JobSchedulingWithDeadlineTest.java,com.thealgorithms.scheduling.JobSchedulingWithDeadlineTest,testJobSequencingWithDeadlinesWithArrivalTimes/0,result,1
/home/luisb/projetos/puc-experimentacao2/./project/src/test/java/com/thealgorithms/scheduling/JobSchedulingWithDeadlineTest.java,com.thealgorithms.scheduling.JobSchedulingWithDeadlineTest,testJobSequencingWithDeadlinesWithArrivalTimes/0,jobs,1
/home/luisb/projetos/puc-experimentacao2/./project/src/test/java/com/thealgorithms/scheduling/JobSchedulingWithDeadlineTest.java,com.thealgorithms.scheduling.JobSchedulingWithDeadlineTest,testJobSequencingWithDeadlines1/0,result,1
/home/luisb/projetos/puc-experimentacao2/./project/src/test/java/com/thealgorithms/scheduling/JobSchedulingWithDeadlineTest.java,com.thealgorithms.scheduling.JobSchedulingWithDeadlineTest,testJobSequencingWithDeadlines1/0,jobs,1
/home/luisb/projetos/puc-experimentacao2/./project/src/test/java/com/thealgorithms/scheduling/JobSchedulingWithDeadlineTest.java,com.thealgorithms.scheduling.JobSchedulingWithDeadlineTest,testJobSequencingWithDeadlinesSingleJob/0,result,1
/home/luisb/projetos/puc-experimentacao2/./project/src/test/java/com/thealgorithms/scheduling/JobSchedulingWithDeadlineTest.java,com.thealgorithms.scheduling.JobSchedulingWithDeadlineTest,testJobSequencingWithDeadlinesSingleJob/0,jobs,1
/home/luisb/projetos/puc-experimentacao2/./project/src/main/java/com/thealgorithms/geometry/MidpointEllipse.java,com.thealgorithms.geometry.MidpointEllipse,"addEllipsePoints/5[java.util.Collection<int[]>,int,int,int,int]",centerY,4
/home/luisb/projetos/puc-experimentacao2/./project/src/main/java/com/thealgorithms/geometry/MidpointEllipse.java,com.thealgorithms.geometry.MidpointEllipse,"addEllipsePoints/5[java.util.Collection<int[]>,int,int,int,int]",centerX,4
/home/luisb/projetos/puc-experimentacao2/./project/src/main/java/com/thealgorithms/geometry/MidpointEllipse.java,com.thealgorithms.geometry.MidpointEllipse,"addEllipsePoints/5[java.util.Collection<int[]>,int,int,int,int]",x,4
/home/luisb/projetos/puc-experimentacao2/./project/src/main/java/com/thealgorithms/geometry/MidpointEllipse.java,com.thealgorithms.geometry.MidpointEllipse,"addEllipsePoints/5[java.util.Collection<int[]>,int,int,int,int]",y,4
/home/luisb/projetos/puc-experimentacao2/./project/src/main/java/com/thealgorithms/geometry/MidpointEllipse.java,com.thealgorithms.geometry.MidpointEllipse,"addEllipsePoints/5[java.util.Collection<int[]>,int,int,int,int]",points,4
/home/luisb/projetos/puc-experimentacao2/./project/src/main/java/com/thealgorithms/geometry/MidpointEllipse.java,com.thealgorithms.geometry.MidpointEllipse,"drawEllipse/4[int,int,int,int]",a,5
/home/luisb/projetos/puc-experimentacao2/./project/src/main/java/com/thealgorithms/geometry/MidpointEllipse.java,com.thealgorithms.geometry.MidpointEllipse,"drawEllipse/4[int,int,int,int]",centerY,5
/home/luisb/projetos/puc-experimentacao2/./project/src/main/java/com/thealgorithms/geometry/MidpointEllipse.java,com.thealgorithms.geometry.MidpointEllipse,"drawEllipse/4[int,int,int,int]",b,5
/home/luisb/projetos/puc-experimentacao2/./project/src/main/java/com/thealgorithms/geometry/MidpointEllipse.java,com.thealgorithms.geometry.MidpointEllipse,"drawEllipse/4[int,int,int,int]",centerX,5
/home/luisb/projetos/puc-experimentacao2/./project/src/main/java/com/thealgorithms/geometry/MidpointEllipse.java,com.thealgorithms.geometry.MidpointEllipse,"drawEllipse/4[int,int,int,int]",x,3
/home/luisb/projetos/puc-experimentacao2/./project/src/main/java/com/thealgorithms/geometry/MidpointEllipse.java,com.thealgorithms.geometry.MidpointEllipse,"drawEllipse/4[int,int,int,int]",y,3
/home/luisb/projetos/puc-experimentacao2/./project/src/main/java/com/thealgorithms/geometry/MidpointEllipse.java,com.thealgorithms.geometry.MidpointEllipse,"drawEllipse/4[int,int,int,int]",points,8
/home/luisb/projetos/puc-experimentacao2/./project/src/main/java/com/thealgorithms/geometry/MidpointEllipse.java,com.thealgorithms.geometry.MidpointEllipse,"computeEllipsePoints/5[java.util.Collection<int[]>,int,int,int,int]",a,20
/home/luisb/projetos/puc-experimentacao2/./project/src/main/java/com/thealgorithms/geometry/MidpointEllipse.java,com.thealgorithms.geometry.MidpointEllipse,"computeEllipsePoints/5[java.util.Collection<int[]>,int,int,int,int]",centerY,2
/home/luisb/projetos/puc-experimentacao2/./project/src/main/java/com/thealgorithms/geometry/MidpointEllipse.java,com.thealgorithms.geometry.MidpointEllipse,"computeEllipsePoints/5[java.util.Collection<int[]>,int,int,int,int]",b,20
/home/luisb/projetos/puc-experimentacao2/./project/src/main/java/com/thealgorithms/geometry/MidpointEllipse.java,com.thealgorithms.geometry.MidpointEllipse,"computeEllipsePoints/5[java.util.Collection<int[]>,int,int,int,int]",dx,7
/home/luisb/projetos/puc-experimentacao2/./project/src/main/java/com/thealgorithms/geometry/MidpointEllipse.java,com.thealgorithms.geometry.MidpointEllipse,"computeEllipsePoints/5[java.util.Collection<int[]>,int,int,int,int]",centerX,2
/home/luisb/projetos/puc-experimentacao2/./project/src/main/java/com/thealgorithms/geometry/MidpointEllipse.java,com.thealgorithms.geometry.MidpointEllipse,"computeEllipsePoints/5[java.util.Collection<int[]>,int,int,int,int]",dy,7
/home/luisb/projetos/puc-experimentacao2/./project/src/main/java/com/thealgorithms/geometry/MidpointEllipse.java,com.thealgorithms.geometry.MidpointEllipse,"computeEllipsePoints/5[java.util.Collection<int[]>,int,int,int,int]",x,8
/home/luisb/projetos/puc-experimentacao2/./project/src/main/java/com/thealgorithms/geometry/MidpointEllipse.java,com.thealgorithms.geometry.MidpointEllipse,"computeEllipsePoints/5[java.util.Collection<int[]>,int,int,int,int]",y,9
/home/luisb/projetos/puc-experimentacao2/./project/src/main/java/com/thealgorithms/geometry/MidpointEllipse.java,com.thealgorithms.geometry.MidpointEllipse,"computeEllipsePoints/5[java.util.Collection<int[]>,int,int,int,int]",d1,3
/home/luisb/projetos/puc-experimentacao2/./project/src/main/java/com/thealgorithms/geometry/MidpointEllipse.java,com.thealgorithms.geometry.MidpointEllipse,"computeEllipsePoints/5[java.util.Collection<int[]>,int,int,int,int]",d2,3
/home/luisb/projetos/puc-experimentacao2/./project/src/main/java/com/thealgorithms/geometry/MidpointEllipse.java,com.thealgorithms.geometry.MidpointEllipse,"computeEllipsePoints/5[java.util.Collection<int[]>,int,int,int,int]",points,2
/home/luisb/projetos/puc-experimentacao2/./project/src/test/java/com/thealgorithms/maths/FFTTest.java,com.thealgorithms.maths.FFTTest,fft/0,arr,10
/home/luisb/projetos/puc-experimentacao2/./project/src/test/java/com/thealgorithms/maths/FFTTest.java,com.thealgorithms.maths.FFTTest,fft/0,complex4,1
/home/luisb/projetos/puc-experimentacao2/./project/src/test/java/com/thealgorithms/maths/FFTTest.java,com.thealgorithms.maths.FFTTest,fft/0,complex1,1
/home/luisb/projetos/puc-experimentacao2/./project/src/test/java/com/thealgorithms/maths/FFTTest.java,com.thealgorithms.maths.FFTTest,fft/0,imgV1,1
/home/luisb/projetos/puc-experimentacao2/./project/src/test/java/com/thealgorithms/maths/FFTTest.java,com.thealgorithms.maths.FFTTest,fft/0,imgV2,1
/home/luisb/projetos/puc-experimentacao2/./project/src/test/java/com/thealgorithms/maths/FFTTest.java,com.thealgorithms.maths.FFTTest,fft/0,complex3,1
/home/luisb/projetos/puc-experimentacao2/./project/src/test/java/com/thealgorithms/maths/FFTTest.java,com.thealgorithms.maths.FFTTest,fft/0,complex2,1
/home/luisb/projetos/puc-experimentacao2/./project/src/test/java/com/thealgorithms/maths/FFTTest.java,com.thealgorithms.maths.FFTTest,fft/0,realV1,1
/home/luisb/projetos/puc-experimentacao2/./project/src/test/java/com/thealgorithms/maths/FFTTest.java,com.thealgorithms.maths.FFTTest,fft/0,realV2,1
/home/luisb/projetos/puc-experimentacao2/./project/src/test/java/com/thealgorithms/maths/FFTTest.java,com.thealgorithms.maths.FFTTest,abs/0,abs,2
/home/luisb/projetos/puc-experimentacao2/./project/src/test/java/com/thealgorithms/maths/FFTTest.java,com.thealgorithms.maths.FFTTest,abs/0,complex1,1
/home/luisb/projetos/puc-experimentacao2/./project/src/test/java/com/thealgorithms/maths/FFTTest.java,com.thealgorithms.maths.FFTTest,subtractTest/0,sub,1
/home/luisb/projetos/puc-experimentacao2/./project/src/test/java/com/thealgorithms/maths/FFTTest.java,com.thealgorithms.maths.FFTTest,subtractTest/0,complex1,1
/home/luisb/projetos/puc-experimentacao2/./project/src/test/java/com/thealgorithms/maths/FFTTest.java,com.thealgorithms.maths.FFTTest,subtractTest/0,complex2,1
/home/luisb/projetos/puc-experimentacao2/./project/src/test/java/com/thealgorithms/maths/FFTTest.java,com.thealgorithms.maths.FFTTest,getImaginaryTest/0,complex,1
/home/luisb/projetos/puc-experimentacao2/./project/src/test/java/com/thealgorithms/maths/FFTTest.java,com.thealgorithms.maths.FFTTest,addTest/0,add,2
/home/luisb/projetos/puc-experimentacao2/./project/src/test/java/com/thealgorithms/maths/FFTTest.java,com.thealgorithms.maths.FFTTest,addTest/0,complex1,1
/home/luisb/projetos/puc-experimentacao2/./project/src/test/java/com/thealgorithms/maths/FFTTest.java,com.thealgorithms.maths.FFTTest,addTest/0,complex2,1
/home/luisb/projetos/puc-experimentacao2/./project/src/test/java/com/thealgorithms/maths/FFTTest.java,com.thealgorithms.maths.FFTTest,conjugateTest/0,complex1,2
/home/luisb/projetos/puc-experimentacao2/./project/src/test/java/com/thealgorithms/maths/FFTTest.java,com.thealgorithms.maths.FFTTest,conjugateTest/0,conReal,1
/home/luisb/projetos/puc-experimentacao2/./project/src/test/java/com/thealgorithms/maths/FFTTest.java,com.thealgorithms.maths.FFTTest,conjugateTest/0,conImg,1
/home/luisb/projetos/puc-experimentacao2/./project/src/test/java/com/thealgorithms/maths/FFTTest.java,com.thealgorithms.maths.FFTTest,divideWithScalarTest/0,divImg,1
/home/luisb/projetos/puc-experimentacao2/./project/src/test/java/com/thealgorithms/maths/FFTTest.java,com.thealgorithms.maths.FFTTest,divideWithScalarTest/0,complex1,2
/home/luisb/projetos/puc-experimentacao2/./project/src/test/java/com/thealgorithms/maths/FFTTest.java,com.thealgorithms.maths.FFTTest,divideWithScalarTest/0,divReal,1
/home/luisb/projetos/puc-experimentacao2/./project/src/test/java/com/thealgorithms/maths/FFTTest.java,com.thealgorithms.maths.FFTTest,getRealtest/0,complex,1
/home/luisb/projetos/puc-experimentacao2/./project/src/test/java/com/thealgorithms/maths/FFTTest.java,com.thealgorithms.maths.FFTTest,multiplyWithScalarTest/0,multiImg,1
/home/luisb/projetos/puc-experimentacao2/./project/src/test/java/com/thealgorithms/maths/FFTTest.java,com.thealgorithms.maths.FFTTest,multiplyWithScalarTest/0,complex1,2
/home/luisb/projetos/puc-experimentacao2/./project/src/test/java/com/thealgorithms/maths/FFTTest.java,com.thealgorithms.maths.FFTTest,multiplyWithScalarTest/0,multiReal,1
/home/luisb/projetos/puc-experimentacao2/./project/src/test/java/com/thealgorithms/maths/FFTTest.java,com.thealgorithms.maths.FFTTest,addFalseTest/0,add,2
/home/luisb/projetos/puc-experimentacao2/./project/src/test/java/com/thealgorithms/maths/FFTTest.java,com.thealgorithms.maths.FFTTest,addFalseTest/0,complex1,1
/home/luisb/projetos/puc-experimentacao2/./project/src/test/java/com/thealgorithms/maths/FFTTest.java,com.thealgorithms.maths.FFTTest,addFalseTest/0,complex2,1
/home/luisb/projetos/puc-experimentacao2/./project/src/test/java/com/thealgorithms/maths/FFTTest.java,com.thealgorithms.maths.FFTTest,multiplyWithComplexTest/0,multiImg,1
/home/luisb/projetos/puc-experimentacao2/./project/src/test/java/com/thealgorithms/maths/FFTTest.java,com.thealgorithms.maths.FFTTest,multiplyWithComplexTest/0,complex1,2
